number,name,status
1,PEPPurposeandGuidelines,Active
482,LiteratureOverviewforTypeHints,Final
579,RefactoringCfunctionsandmethods,Final
483,TheTheoryofTypeHints,Final
514,PythonregistrationintheWindowsregistry,Active
569,Python3.8ReleaseSchedule,Active
457,NotationForPositional-OnlyParameters,Final
596,Python3.9ReleaseSchedule,Active
607,ReducingCPython’sFeatureDeliveryLatency,Final
602,AnnualReleaseCycleforPython,Accepted
452,APIforCryptographicHashFunctionsv2.0,Final
434,IDLEEnhancementExceptionforAllBranches,Active
430,MigratingtoPython3asthedefaultonlinedocumentation,Final
399,PurePython/CAcceleratorModuleCompatibilityRequirements,Final
394,The“python”CommandonUnix-LikeSystems,Active
3124,"Overloading,GenericFunctions,Interfaces,andAdaptation",Deferred
448,AdditionalUnpackingGeneralizations,Final
333,PythonWebServerGatewayInterfacev1.0,Final
8014,TheCommonsGovernanceModel,Rejected
8013,TheExternalCouncilGovernanceModel,Rejected
8012,TheCommunityGovernanceModel,Rejected
8011,PythonGovernanceModelLeadbyTrioofPythonistas,Rejected
3152,Cofunctions,Rejected
8015,OrganizationofthePythoncommunity,Rejected
3153,AsynchronousIOsupport,Superseded
8010,TheTechnicalLeaderGovernanceModel,Rejected
3146,MergingUnladenSwallowintoCPython,Withdrawn
3145,AsynchronousI/OForsubprocess.Popen,Withdrawn
3140,"str(container)shouldcallstr(item),notrepr(item)",Rejected
3142,Adda“while”clausetogeneratorexpressions,Rejected
3139,Cleaningoutsysandthe“interpreter”module,Rejected
3136,Labeledbreakandcontinue,Rejected
3133,IntroducingRoles,Rejected
3130,AccesstoCurrentModule/Class/Function,Rejected
3128,BList:AFasterList-likeType,Rejected
3122,Delineationofthemainmodule,Rejected
3126,RemoveImplicitStringConcatenation,Rejected
3125,RemoveBackslashContinuation,Rejected
3103,ASwitch/CaseStatement,Rejected
754,IEEE754FloatingPointSpecialValues,Rejected
3117,Postfixtypedeclarations,Rejected
3001,Procedureforreviewingandimprovingstandardlibrarymodules,Withdrawn
726,Module,Rejected
713,CallableModules,Rejected
722,Dependencyspecificationforsingle-filescripts,Rejected
724,StricterTypeGuards,Withdrawn
707,Asimplifiedsignaturefor__exit__and__aexit__,Rejected
704,Requirevirtualenvironmentsbydefaultforpackageinstallers,Withdrawn
690,LazyImports,Rejected
666,RejectFoolishIndentation,Rejected
663,"StandardizingEnumstr(),repr(),andformat()behaviors",Rejected
677,CallableTypeSyntax,Rejected
662,Editableinstallsviavirtualwheels,Rejected
665,AfileformattolistPythondependenciesforreproducibilityofanapplication,Rejected
651,RobustStackOverflowHandling,Rejected
650,SpecifyingInstallerRequirementsforPythonProjects,Withdrawn
648,Extensiblecustomizationsoftheinterpreteratstartup,Rejected
645,Allowwritingoptionaltypesas,Withdrawn
641,UsinganunderscoreintheversionportionofPython3.10compatibilitytags,Rejected
640,Unusedvariablesyntax,Rejected
642,ExplicitPatternSyntaxforStructuralPatternMatching,Rejected
637,Supportforindexingwithkeywordarguments,Rejected
633,Dependencyspecificationinpyproject.tomlusinganexplodedTOMLtable,Rejected
631,Dependencyspecificationinpyproject.tomlbasedonPEP508,Superseded
611,Theonemillionlimit,Withdrawn
620,HideimplementationdetailsfromtheCAPI,Withdrawn
622,StructuralPatternMatching,Superseded
606,PythonCompatibilityVersion,Rejected
608,CoordinatedPythonrelease,Rejected
601,Forbidreturn/break/continuebreakingoutoffinally,Rejected
605,ArollingfeaturereleasestreamforCPython,Rejected
599,Themanylinux2014PlatformTag,Superseded
598,Introducingincrementalfeaturereleases,Withdrawn
595,Improvingbugs.python.org,Withdrawn
583,AConcurrencyMemoryModelforPython,Withdrawn
582,Pythonlocalpackagesdirectory,Rejected
577,AugmentedAssignmentExpressions,Withdrawn
559,Built-innoop(),Rejected
571,Themanylinux2010PlatformTag,Superseded
580,TheCcallprotocol,Rejected
576,RationalizeBuilt-infunctionclasses,Withdrawn
575,Unifyingfunction/methodclasses,Withdrawn
555,Context-localvariables(contextvars),Withdrawn
554,MultipleInterpretersintheStdlib,Superseded
548,MoreFlexibleLoopControl,Rejected
549,InstanceDescriptors,Rejected
550,ExecutionContext,Withdrawn
546,Backportssl.MemoryBIOandssl.SSLObjecttoPython2.7,Rejected
543,AUnifiedTLSAPIforPython,Withdrawn
542,DotNotationAssignmentInFunctionHeader,Rejected
551,SecuritytransparencyinthePythonruntime,Withdrawn
536,FinalGrammarforLiteralStringInterpolation,Withdrawn
521,Managingglobalcontextvia‘with’blocksingeneratorsandcoroutines,Withdrawn
516,Buildsystemabstractionforpip/condaetc,Rejected
522,AllowBlockingIOErrorinsecuritysensitiveAPIs,Rejected
511,APIforcodetransformers,Rejected
510,Specializefunctionswithguards,Rejected
531,Existencecheckingoperators,Withdrawn
513,APlatformTagforPortableLinuxBuiltDistributions,Superseded
507,MigrateCPythontoGitandGitLab,Rejected
497,Astandardmechanismforbackwardcompatibility,Rejected
509,Addaprivateversiontodict,Superseded
496,EnvironmentMarkers,Rejected
500,Aprotocolfordelegatingdatetimemethodstotheirtzinfoimplementations,Rejected
490,ChainexceptionsatClevel,Rejected
504,UsingtheSystemRNGbydefault,Withdrawn
502,StringInterpolation-ExtendedDiscussion,Rejected
474,Creatingforge.python.org,Withdrawn
481,"MigrateCPythontoGit,Github,andPhabricator",Withdrawn
473,Addingstructureddatatobuilt-inexceptions,Rejected
460,Addbinaryinterpolationandformatting,Withdrawn
463,Exception-catchingexpressions,Rejected
462,CoredevelopmentworkflowautomationforCPython,Withdrawn
472,Supportforindexingwithkeywordarguments,Rejected
469,MigrationofdictiterationcodetoPython3,Withdrawn
455,Addingakey-transformingdictionarytocollections,Rejected
437,"ADSLforspecifyingsignatures,annotationsandargumentconverters",Rejected
459,StandardMetadataExtensionsforPythonSoftwarePackages,Withdrawn
439,InclusionofimplicitpipbootstrapinPythoninstallation,Rejected
431,Timezonesupportimprovements,Superseded
433,Easiersuppressionoffiledescriptorinheritance,Superseded
432,RestructuringtheCPythonstartupsequence,Withdrawn
426,MetadataforPythonSoftwarePackages2.0,Withdrawn
413,FasterevolutionofthePythonStandardLibrary,Withdrawn
